,backside,Kanji,Keyword,Meaning,Alternative Meaning,On readings,Kun readings,Emphasis***,dummy_kana,Level,ONmem,KUNmem,MEANINGmem,Common words,KUNexample,Extra words,Old level,Nanori,Example,Components,No of strokes,Radical,Traditional form,Classification,Koohi Story 1,Koohi Story 2,RTK index (new),Tag,waniplus_level,waniplus_id,waniplus_srs
斡,"アツ　めぐ.る　go around, govern",斡,auspices,"go around, rule, administer",,アツ、 カン、 ワツ,,onyomi,,63,,,,,,,,,斡旋(あっせん): (1) kind offices; services; through the good offices of; influence (2) intercession; mediation,十: ten<br>早: early; fast<br>斗: Big Dipper; 10 sho (vol); sake dipper; dots and cross radical (no. 68),,,(none),,"""Under the auspices of the local observatory, we looked at the Big Dipper on a misty night, huddled under an umbrella.""","""Under the auspices of NASA, we explored the Big Dipper -- it was misty but NASA placed a giant umbrella over the Big Dipper to keep us dry.""",2802,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,3,,
斥,セキ　reject,斥,reject,"reject, retreat, recede, withdraw, repel, repulse",,セキ,,onyomi,,63,,,,,,,,,,斤: axe; 1.32 lb; catty; counter for loaves of bread; axe radical (no. 69)<br>丶: dot; tick or dot radical (no. 3),5,斤,(none),象形 Pictographic,The kids at school used to reject me.. Made me feel really bad till I brought my axe to school. See the drop of blood on it?,"The quality expectations are very high in our axe manufacturing facility. If there´s one drop of rust on any axe, it gets rejected.",1220,JLPT.N1 gradeS kanjifreq2001-2500,3,,
旁,"ボウ　つくり　かたがた　かたわら　side, component, incidentally",旁,"right half side of character, at same time, construction","right half side of character, at same time, construction",,ボウ,つくり、 かたがた、 かたわら,kunyomi,,63,,,,"ボウ        博引旁証【はくいんぼうしょう】citing copious references
旁証【ぼうしょう】supporting evidence; corroboration
つくり        旁【つくり】right half of a character when the left half is its radical
かたがた        旁【かたがた】incidentally; at the same time
かたわら        旁【かたわら】side; while (doing)",,,,,,,,,,,,,,,3,,
昏,コン　くら.い　dusk,昏,dusk,"dark, evening, dusk",,コン,くら.い、 くれ,onyomi,,63,,,,"たそがれ 【黄昏】dusk;  twilight
くらい【暗い · 昏い · 冥い · 闇い】dark;  gloomy;
こんすい【昏睡】lethargy;  stupor /coma;  dead sleep",,,,,,氏: family name; surname; clan<br>日: day; sun; Japan; counter for days,,,(none),,At dusk every day I go out in one of those airplanes that leaves a vapour trail and write my family name just above the setting sun. (I have to wait until dusk so that the sun is low enough in the sky).,The woman leaves her marriage at dusk after all the guests have gone home.,2526,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,3,,
昧,マイ　くら.い　obscure,昧,obscure,"dark, foolish",,マイ、 バイ,,onyomi,,63,,,,,,,,,曖昧(あいまい): (1) vague; ambiguous; unclear (2) fuzzy,日: day; sun; Japan; counter for days<br>未: un-; not yet; hitherto; still; even now; sign of the ram; 1-3PM; eighth sign of Chinese zodiac,9,日,(none),形声 Phonetic,Something that is obscure has not yet been brought before the light of day.,"´Can´t you go outside and get some sun?´ ´Not yet, I have to learn all these obscure RTK3 kanji!´.",231,JLPT.N0 gradeS,3,,
晒,"さら.す　expose to the sun, dry",晒,bleaching,"bleach, refine, expose, air",,,さら.す、 さらし,kunyomi,,63,,,,"シ        夜晒【よざらし】leaving things exposed outside all night
さらす        晒す【さらす】to expose (to the air, to the public, to danger, etc.); to bleach
屍を晒す【しかばねをさらす】to die on the battlefield
さらし        晒木綿【さらしもめん】bleached cotton cloth
晒【さらし】bleaching; bleached cotton",,,,,,日: day; sun; Japan; counter for days<br>襾: cover; place on top of; west radical variant (no. 146),,,(none),,"""In the Old West, the sun was the only method for bleaching hair.""","""Sun, west: The Japanese like to bleach their hairs until these shine in the sun. It has to do with their obsession for the West.""",2521,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,3,,
暈,"ウン　ぼか.す　halo, shade, dizziness",暈,halo,"halo, corona, fade",,ウン,ぼか.す、 ぼか.る、 かさ、 くま、 ぼかし、 めまい,kunyomi,,63,,,,"ウン        眩暈【げんうん】dizziness; giddiness; vertigo
暈倒病【うんとうびょう】vertigo; staggers
ぼかす        暈す【ぼかす】to shade off; to obscure
かさ        暈【かさ】astronomical halo (ring, etc.)
めまい        良性発作性頭位眩暈症【りょうせいほっさせいとういめまいしょう】benign paroxysmal positional vertigo; BPPV",,,,,,日: day; sun; Japan; counter for days<br>軍: army; force; troops; war; battle,,,(none),,"""My halo is as bright as the sun, and is actually made from a wheel I pulled off a chariot.""","""The sun, high above us, was according to ancient Greeks the chariot of a god, and the halo of this chariot are the rays of the sun.""",2516,JLPT.N0 ShouldSuspend gradeS+,3,,
暢,"チョウ　の.びる　とお.る　stretch, flow",暢,carefree,stretch,,チョウ,,onyomi,,63,,,,流暢　りゅうちょう,,,,"いたる, のぶ, のぶる, なが, とうる, とおる, のり, まさ, みつる, よう",暢気(のんき): carefree; optimistic; careless; reckless; heedless; happy-go-lucky; easygoing,申: have the honor to; sign of the monkey; 3-5PM; ninth sign of Chinese zodiac<br>昜: open; sun,,,(none),,"""The monkey is carefree with his piggy bank, tossing it at whatever financial opportunity he stumbles upon.""","""As a carefree person, I'm always using my piggy bank to monkey around.""",2895,JLPT.N1 ShouldSuspend gradeS+ jinmeiyou kanjifreq2001-2500,3,,
曖,"アイ　darken, mask",曖,equivocal,"dark, not clear",,アイ,,onyomi,,63,,,,曖昧　あいまい,,,,,曖昧(あいまい): (1) vague; ambiguous; unclear (2) fuzzy,日: day; sun; Japan; counter for days<br>愛: love; affection; favourite,17,日,(none),形声 Phonetic,The sun´s love is equivocal: it warms yet burns us.,"曖昧。 On a sunny day, a guy professes his love to a girl he admires. But she gives him the common equivocal response, ""Let´s just be friends."".",797,JLPT.N0 gradeS,3,,
杖,ジョウ　つえ　cane,杖,cane,"staff, cane",,ジョウ,つえ,kunyomi,,63,,,,"ジョウ        錫杖【しゃくじょう】bishop's staff; khakkhara
杖術【じょうじゅつ】form of martial art using a cane staff
つえ        杖【つえ】cane; walking stick; staff",,,,,杖(つえ): cane; walking stick; staff,木: tree; wood<br>丈: length; 10feet; measure; Mr.; Ms.; height; stature; all (one has); only; that's all; merely,,,(none),,Wood of a certain length can be used as a cane.,"""A length of wood will be suitable as a cane, a walking stick or even a weapon (a jo).This is じょう from the martial art Joudou 杖道. Ten 尺 make up a 杖. Also, walking stick, つえ.""",2566,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou kanjifreq2001-2500,3,,
杜,"ズ　ト　もり　ふさ.ぐ　forest, to close",杜,temple grove,"woods, grove",,ズ、ト、 トウ,,onyomi,,63,,,,杜撰　ずさん,,,,,,木: tree; wood<br>土: soil; earth; ground; Turkey,,,(none),,"""A normal grove is 林, so in a temple grove half the trees have been removed and replaced by soil (presumably for graves).""",A simple Zen temple grove: A single tree with soil.,2562,JLPT.N1 ShouldSuspend gradeS+ jinmeiyou kanjifreq2001-2500,3,,
柿,"シ　かき　こけら　persimmon, chopped wood",柿,persimmon,persimmon,,シ,かき、こけら,kunyomi,,63,,,,"シ        熟柿【じゅくし】ripe persimmon
熟柿主義【じゅくししゅぎ】laying low, awaiting one's chance
熟柿臭い【じゅくしくさい】smelling of (stale) liquor
かき        柿【かき】kaki; Japanese persimmon (Diospyros kaki)
こけら        柿落とし【こけらおとし】opening of a new theater (theatre)
柿【こけら】chopped wood; thin shingles",,,,,,木: tree; wood<br>市: market; city; town,9,木,(none),形声 Phonetic,"Nobody buys persimmons at the market, because there´s a tree in the middle where you can pick them for free.",The guy at the market says: I´ll give you one persimmon tree per every Simon you bring me!,441,JLPT.N0 gradeS kanjifreq1501-2000 Kanji_Nature_Plant.Tree,3,,
栗,"リツ　くり　chestnut, fear",栗,chestnut,chestnut,,リツ,くり、 おののく,kunyomi,,63,,,,"リツ        戦戦栗栗【せんせんりつりつ】trembling with fear
くり        栗【くり】Japanese chestnut (Castanea crenata)
栗毛【くりげ】chestnut (horse coat color)
栗石【くりいし】cobblestone",,,,"くる, りっ",,襾: cover; place on top of; west radical variant (no. 146)<br>木: tree; wood,,,(none),,"Chestnut tree, west nut tree.",The cowboy climbed the tree to see where they were in the woods. The poor guy chose a chestnut tree. ouch ouch.,1735,JLPT.N1 Kanji_Food.Drink ShouldSuspend gradeS+ jinmeiyou kanjifreq1501-2000,3,,
桁,コウ　けた　beam,桁,girder,"beam, girder, spar, unit or column (accounting)",,コウ,けた,kunyomi,,63,,,,"Example compounds:
コウ	衣桁【いこう】clothes rack
けた	桁【けた】column; digit
一桁【ひとけた】one digit; one column; the ""ones"" column
五桁【ごけた】five-digit number; ""ten thousands"" column",,,,,桁(けた): (1) column; beam; girder; crossbeam; spar; yard (2) digit; decade; order of magnitude,木: tree; wood<br>行: going; journey,10,木,(none),形声 Phonetic,Girders are support beams that are nowadays mostly made out of steel. But in the ancient houses that are placed at the boulevard the girders will be made out of wood.,"When the wooden girders start to snap, the workmen shout ""Run! Let´s go!"".",956,JLPT.N0 gradeS Kanji_Counting Kanji_Structure.Town.Building,3,,
桶,トウ　おけ　bucket,桶,bucket,"tub, bucket",,トウ,おけ,kunyomi,,63,,,,"Example compounds:
トウ	湯桶読み【ゆとうよみ】mixed kun-on reading (cf. juubakoyomi)
湯桶【ゆとう】pail-like wooden container typically lacquered in Japanese style, used for holding and serving hot liquids
片手湯桶【かたゆとう】wooden scoop, used for bathing
おけ	桶【おけ】bucket",,,,,,木: tree; wood<br>甬: road with walls on both sides,,,(none),,"""One of my favourite pastimes is that I like to jump out of a tree on my pogo stick and try to land in a bucket. When successful it makes a very satisfying """"clang"""". (Note: new primitive pogo stick = chop seal + utilize, for explanation see my entry at traffic (#1408).).""","""As if in a cartoon, my pogo stick got stuck in a wooden bucket, causing me to fall over.""",2590,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou kanjifreq2001-2500,3,,
棘,キョク　とげ　いばら　thorn shrub,棘,thornbush,"thorn, splinter, spine, biting words, briers",,キョク,とげ、いばら,kunyomi,,63,,,,"Example compounds:
キョク	棘皮動物【きょくひどうぶつ】echinoderm
荊棘【けいきょく】wild rose; briar patch; thorn (used figuratively as an obstacle or source of difficulty)
骨棘【こつきょく】bone spur; osteophyte
いばら	棘【いばら】thorny shrub; wild rose; thorn; (architectural) cusp
とげ	棘【とげ】thorn; splinter (esp. lodged in one's flesh); biting words
棘魚",,,,,棘(とげ): thorn; splinter; spine; biting words,朿: thorn<br>朿: thorn,,,(none),,The belt of thorns around a tree is doubled in a thornbush.,"""A thornbush so thorny, even its thorns have thorns. Note: A good example is gorse http://www.weeds.asn.au/gifs/line_art/gorse.gif.""",2945,JLPT.N0 ShouldSuspend gradeS+,3,,
棲,セイ　す.む　すみか　dwell,棲,roost,"live, dwell",,セイ,,onyomi,,63,,,,同棲　どうせい,,,,ずみ,,木: tree; wood<br>妻: wife; spouse,,,(none),,"""His wife wanted the chickens in the hen house to be housed properly, so she chopped up a tree and made wooden roosts for them to sit on.""","""My wife wanted a special place to roost, so I built her one - on the top of that tree.""",2559,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,3,,
椀,ワン　wooden bowl,椀,wooden bowl,wooden or lacquered bowl,,ワン,,onyomi,,63,,,,,,,,,椀(わん): Japanese soup bowl; wooden bowl,木: tree; wood<br>宛: address; just like; fortunately,,,(none),,Wooden bowls made of wood have the address of the maker on the on the side.,"""This is a specially hand-crafted wooden bowl. If you turn is over, you can see the address of the craftsman on the bottom.""",2550,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,3,,
楊,ヨウ　やなぎ　purple willow,楊,purple willow,willow,,ヨウ,やなぎ,onyomi,,63,,,,爪楊枝　つまようじ,,,,やな,,木: tree; wood<br>昜: open; sun,,,(none),,"""Because it's easy to spot, a purple willow is the tree that marks where my piggy bank is.""","""Normally, I can resist the cries of a weeping willow, but this one, she was a purple willow! I just couldn't let the poor tree sit there, so I gave her my piggy bank.""",2539,JLPT.N1 ShouldSuspend gradeS+ jinmeiyou kanjifreq1501-2000,3,,
楕,ダ　ellipse,楕,ellipse,ellipse,,ダ、 タ,,onyomi,,63,,,,楕円性　だえんせい,,,,,楕円(だえん): ellipse,木: tree; wood<br>左: left<br>月: month; moon,,,(none),,The 惰 lazy (#629) way to draw an ellipse requires two wooden pegs and some string (http://tinyurl.com/252zgx).,"""When tasked with planting the trees to form a circle, the somewhat lazy gardener just winged it (instead of measuring) and the result was an ellipse of trees.""",2591,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou kanjifreq2001-2500,3,,
楯,ジュン　たて　shield,楯,escutcheon,"shield, buckler, pretext",,ジュン,たて,kunyomi,,63,,,,"Example compounds:
ジュン	楯鱗【じゅんりん】placoid scale
たて	楯突く【たてつく】to oppose; to resist; to defy
楯【たて】shield; buckler; escutcheon; pretext
楯籠る【たてこもる】to barricade oneself in; to hold (a fort, etc.); to shut oneself up; to be besieged; to dig in",,,,,,木: tree; wood<br>盾: shield; escutcheon; pretext,,,(none),,Escutcheons are noble shields that depict the coat of arms of a family. They are usually made out of wood.,"""Escutcheons are heraldic displays, often found on shields and made of wood.""",2573,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,3,,
楷,"カイ　rule, calligraphy style",楷,"square character style, correctness","square character style, correctness",,カイ,,onyomi,,63,,,,楷書　かいしょ,,,,,,木: tree; wood<br>皆: all; everything,13,木,(none),形声 Phonetic,Block letters (as opposed to cursive) are rigid and lifeless like wood; they're all the same size so that all can read them.,"all the hiragana are in ""block letters"" on wooden blocks, like children's toys.",485,JLPT.N0 gradeS,3,,
槌,ツイ　つち　wooden hammer,槌,wooden hammer,"hammer, mallet",,ツイ,つち,kunyomi,,63,,,,"Example compounds:
ツイ	鉄槌【てっつい】(iron) hammer; hopeless swimmer
一大鉄槌【いちだいてっつい】dealing a hard (heavy, crushing) blow (to)
破城槌【はじょうつい】battering ram
つち	槌【つち】hammer; mallet; sledge(hammer); gavel",,,,,金槌(かなづち): (1) (iron) hammer (2) hopeless swimmer; complete beginner at swimming,木: tree; wood<br>追: chase; drive away; follow; pursue; meanwhile,,,(none),,"""Sick of being chased, the maestro grabs a wooden hammer to fight back with.""","""When the trees rebel, they will chase us with wooden hammers.""",2543,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou kanjifreq2001-2500,3,,
樽,ソン　たる　barrel,樽,barrel,"barrel, cask, keg",,ソン,たる,kunyomi,,63,,,,"Example compounds:
ソン	樽俎【そんそ】(eating or drinking) party
樽俎折衝【そんそせっしょう】diplomatic negotiations at the dinner table; diplomatic bargaining
たる	樽【たる】cask; barrel",,,,,,木: tree; wood<br>尊: revered; valuable; precious; noble; exalted,,,(none),,The revered horned whiskey is riped in special barrels made out of Japanese Oak trees.,The most revered tree is one that can be used as a wine barrel.,2567,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou kanjifreq1501-2000,3,,
橙,トウ　だいだい　bitter orange,橙,bitter orange,bitter orange,,トウ,だいだい,kunyomi,,63,,,,"Example compounds:
トウ	橙色【とうしょく】orange color; orange colour
橙皮油【とうひゆ】orange-peel oil
橙花油【とうかゆ】citrus oil; neroli oil
だいだい	橙色【だいだいいろ】orange color; orange colour
橙【だいだい】bitter orange (Citrus aurantium)",,,,,,木: tree; wood<br>登: ascend; climb up,,,(none),,,,,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,3,,
檻,カン　おり　jail,檻,"pen, corral, cell, jail","pen, corral, cell, jail",,カン,おり、 おばしま、 てすり,kunyomi,,63,,,,"Example compounds:
カン	折檻【せっかん】scolding severely; chastisement; correcting; spanking (a naughty boy)
おり	檻【おり】cage; pen; jail cell; gaol cell",,,,,,,,,,,,,,JLPT.N0 ShouldSuspend gradeS+,3,,
歪,ワイ　ゆが.む　いびつ　distort,歪,warped,"warp, bend, strained, distort",,ワイ,ゆが.む、いが.む、 いびつ、 ひず.む,kunyomi,,63,,,,"ワイ        歪曲【わいきょく】distortion; falsification; perversion
歪度【わいど】skewness
歪力【わいりょく】stress
いびつ        歪【いびつ】distorted; oval; round, wooden container for cooked rice; oval coin
ゆがむ        歪む【ゆがむ】to warp; to swerve; to deflect; to be crooked; to be distorted; to be bent; to incline; to slant; to be perverted; to be gross-grained; to get bent; to be strained",,,,,歪む(ゆがむ): to warp; to swerve; to deflect; to be crooked; to be distorted; to be bent; to incline; to slant; to be perverted; to be gross-grained; to get bent; to be strained,丕: large; great; grand; glorious; distinguished<br>正: correct; justice; righteous; 10**40,,,(none),,"""In the debate, your political opponent's has such a warped sense of perspective, that he believes the negative is actually correct.""",On standardized tests they use negative questions that are so warped you don't know which answer is correct.,2875,JLPT.N0 ShouldSuspend gradeS+ kanjifreq2001-2500,3,,
氾,ハン　ひろ.がる　spread wide,氾,widespread,"spread out, wide",,ハン,,onyomi,,63,,,,氾濫　はんらん,,,,,氾濫(はんらん): overflowing; flood,水: water<br>卩: seal radical (no. 26),5,水,(none),形声 Phonetic,It´s a widespread belief that they cannot find fingerprints on a body that has been deposited in the water.,It´s a widespread belief that water takes away fingerprints.,1518,JLPT.N0 gradeS,3,,
汲,キュウ　く.む　scoop water,汲,draw water,"draw (water), ladle, scoop, pump",,キュウ,く.む,kunyomi,,63,,,,キュウ        汲々【きゅうきゅう】diligent; absorbed (in something),,,,くみ,汲む(くむ): (1) to draw (water); to ladle; to dip; to scoop; to pump (2) to have a drink together (3) to consider; to sympathize with; to sympathise with,水: water<br>及: reach out; exert; exercise; cause,,,(none),,When you draw water you reach out and take the water from the well.,Reach out for water to draw water from the well.,2413,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,3,,
洒,シャ　サイ・セイ　ソン　セン　wash to refresh,洒,rinse,"wash, sprinkle",,シャ、 ソン、 サイ、 セン、 セイ,,onyomi,,63,,,,洒落　シャレ,,,,,洒落(しゃれ): (1) joke; pun; witticism (2) smartly dressed; stylish; fashion-conscious; refined<br>御洒落(おしゃれ): (1) smartly dressed; stylish; fashion-conscious (2) someone smartly dressed (3) to dress up; to be fashionable<br>洒落る(しゃれる): (1) to dress stylishly (2) to joke; to play on words<br>洒落(しゃらく): frank; open-hearted,水: water<br>襾: cover; place on top of; west radical variant (no. 146),,,(none),,"""In the wild west everything was so dirty! With the limited water people could spare, a simple rinse was the best your clothes would get.""",Rinse empty whiskey bottles with water.,2389,JLPT.N0 ShouldSuspend gradeS+ kanjifreq2001-2500,3,,
浚,シュン　さら.う　wash away,浚,"dredge, drag, clean","dredge, drag, clean",,シュン,さら.える、 さら.う,kunyomi,,63,,,,シュン        浚渫【しゅんせつ】dredging,,,,,,,,,,,,,,,3,,
涎,よだれ　saliva,涎,"saliva, slobber","saliva, slobber",,,よだれ,kunyomi,,63,,,,,,,,,,,,,,,,,,JLPT.N0 ShouldSuspend gradeS+,3,,
渚,ショ　なぎさ　shore,渚,strand,"strand, beach, shore",,ショ,なぎさ,kunyomi,,63,,,,"Example compounds:
ショ	渚畔【しょはん】shore; waterside
汀渚【ていしょ】sand bar; waters edge
なぎさ	渚【なぎさ】water's edge; beach; shore
渚伝い【なぎさづたい】along the shore",,,,なぎ,渚(なぎさ): water's edge; beach; shore,水: water<br>者: someone; person,,,(none),,I was stranded on a desert island surrounded by water for hundreds of miles on end. I wasn´t upset though - I had my love doll! What a great strand of sand to be stranded on - just me and my love doll!,"A lovely romantic walk on the strand, splashing in the water with my love doll.",1353,JLPT.N1 ShouldSuspend gradeS+ jinmeiyou kanjifreq2001-2500,3,,
溜,"リュウ　た.まる　collect, distillation",溜,cumulation,"collect, gather, be in arrears",,リュウ,た.まる、 たま.る、 た.める、 したた.る、 たまり、 ため,kunyomi,,63,,,,リュウ        蒸溜【じょうりゅう】distillation,,,,,"溜める(ためる): (1) to amass; to accumulate; to store (2) to leave unpaid<br>溜まる(たまる): to collect; to gather; to save; to accumulate; to pile up<br>溜まり(たまり): (1) pile; pool; collection (2) gathering spot (3) waiting place for a sumo wrestler beside the ring (4) liquid runoff from miso preparation (5) tamari; variety of rich soy sauce (used for sashimi, etc.)",水: water<br>留: detain; fasten; halt; stop,,,(none),,"""Water, detain: At the airport, crazy EU customs regulations made that every person carrying water bottles was detained and the water bottles themselves impounded. As you may imagine, in the customs office, there was quite a cumulation of water bottles.""","""I look up at a cumulonimbus cloud and say “There must be a lot of water detained in that cumulonimbus, quite a cumulation”.""",2415,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou kanjifreq2001-2500,3,,
溢,イツ　あふ.れる　こぼ.れる　overflow,溢,brimming,"overflow, inundate, spill",,イツ,あふ.れる、 こぼ.れる、 み.ちる,kunyomi,,63,,,,"イツ        溢流【いつりゅう】overflow; spill
こぼれる        溢れる【こぼれる】to spill; to peek through; to escape (of a smile, tear, etc.)
あふれる        溢れる【あふれる】to overflow; to brim over; to flood",,,,,溢れる(あふれる): to overflow; to brim over; to flood,水: water<br>益: benefit; gain; profit; advantage,,,(none),,"""Water is to the benefit of all live forms, so when a place has a lot of water, you soon see it brimming with life forms.""",(+brendanmacdonald) Water is brimming with health benefits!,2408,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou kanjifreq2001-2500,3,,
溺,デキ　おぼ.れる　drowning,溺,drowning,"drown, indulge",,デキ,おぼ.れる、いばり,kunyomi,,64,,,,"デキ        溺愛【できあい】doting
溺死【できし】death by drowning
溺水【できすい】drowning
おぼれる        溺れる【おぼれる】to drown; to indulge in",,,,,溺れる(おぼれる): (1) to drown; to nearly drown; to sink below the surface (of water) (2) to indulge in; to lose one's head over something; to wallow in,水: water<br>弱: weak; frail,13,水,(none),形声 Phonetic,Weak people placed in the water start drowning. Get some strength in those arms and learn how to swim!,Weak swimmers drowning in the water.,1324,JLPT.N0 gradeS,3,,
滲,"シン　にじ.む　し.みる　permeate, seep",滲,seep,imbued with,,シン,にじ.む、し.みる,kunyomi,,64,,,,"シン        滲透【しんとう】permeation; osmosis
滲出【しんしゅつ】infiltration; permeation; exudation; percolation; effusion; extraction
しみる        滲みる【しみる】to pierce; to (enter a wound or sensitive area and) sting; to be infected (with vice)
にじむ        滲む【にじむ】to run; to blur; to spread; to blot; to ooze",,,,,滲む(にじむ): to run; to blur; to spread; to blot; to ooze,水: water<br>參: three; going; coming; visiting,,,(none),,"""We have a prettily shaped umbrella, but when it started to rain, water seeped through and three of our elbows got wet. So much for design over functionality.""","""X-men movie scene where the senator SEEPS through the bars like WATER. You see all these ELBOWS (three of them) move in trying to grab him, but it's MYSTIQUE the SHAPE changer that catches him in her UMBRELLA.""",2388,JLPT.N0 ShouldSuspend gradeS+,3,,
漑,ガイ　irrigate,漑,pour,pour,,ガイ、 カイ,,onyomi,,64,,,,灌漑　かんがい,,,,,,,,,,,,,,,3,,
潰,カイ　つぶ.す　crush,潰,defile,"crush, smash, break, dissipate",,カイ,つぶ.す、 つぶ.れる、 つい.える,kunyomi,,64,,,,"カイ        胃潰瘍【いかいよう】stomach ulcer
潰瘍【かいよう】ulcer
全潰【ぜんかい】complete destruction
つぶす        押し潰す【おしつぶす】to squash; to crush; to flatten
つぶれる        潰れる【つぶれる】to be smashed; to become useless; to go bankrupt
ついえる        潰える【ついえる】to use up (one's savings); to be wasted (time, effort, etc); to fall apart; to be wiped out (in battle); to fall apart (one's body or health)",,,,,潰す(つぶす): (1) to smash; to crush (2) to shut down (3) to thwart; to block (4) to kill (time) (5) to waste (e.g. talents)<br>潰れる(つぶれる): (1) to be smashed (2) to become useless; to cease functioning (3) to go bankrupt,水: water<br>貴: precious; value; prize; esteem; honor,15,水,(none),形声 Phonetic,"Man continues to defile precious water and it may prove to be his downfall (Think of Exxon, BP, etc.).","...Faramir and Frodo watched the tiny creature far below. ""Shall we shoot him?"" Faramir asked. ""This Gollum has defiled the waters of the Forbidden pond, looking for his Precious, and for that the penalty is death""...",1911,JLPT.N0 gradeS,3,,
澱,デン　よど.む　おり　sediment,澱,sediment,"sediment, grounds, dregs, stagnant",,デン,よど.み、 よど.む、おり、 ど.ろ,kunyomi,,64,,,,"デン        沈澱【ちんでん】precipitation; deposition; settlement (e.g. of sediment)
澱粉【でんぷん】(food) starch
おり        酒の澱【さけのおり】lees; sediment of wine
澱【おり】dregs; lees; grounds; sediment
よどみ        澱み【よどみ】stagnation; faltering
よどむ        澱む【よどむ】to stagnate; to be stagnant; to settle; to deposit; to be sedimented; to be precipitated; to hesitate; to be sluggish; to stammer; to stumble; to falter",,,,,沈澱(ちんでん): precipitation; deposition; settlement (e.g. of sediment),水: water<br>殿: Mr.; hall; mansion; palace; temple; lord,,,(none),,"""Mr. President is visiting the city of New Orleans, where the sediment is being cleared away that got there when the water rushed in during hurricane Katrina.""","""After Mr. (and Mrs.) Smith blasted everything in sight with a missile launcher (see Mr. (#1805)), turning the whole world into sediment, nothing was left to shot at. The only thing left was WATER. So boring...""",2395,JLPT.N0 ShouldSuspend gradeS+,3,,
濡,"ぬ.れる　ジュ　drench, delay",濡,drench,"get wet, damp, make love",,,ぬれ.る、 ぬら.す、 ぬ.れる、 ぬ.らす、 うるお.い、 うるお.う、 うるお.す,kunyomi,,64,,,,,,,,,濡れる(ぬれる): to get wet<br>濡らす(ぬらす): to wet; to soak; to dip<br>ずぶ濡れ(ずぶぬれ): soaked; dripping wet,水: water<br>需: demand; request; need,,,(none),,Those who demand water will be drenched.,"""When he demanded water from the waitress, she dumped the glass over his head, drenching his clothes.""",2419,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou kanjifreq2001-2500,3,,
濫,"ラン　う.かべる　みだ.れる　overflow, float, disorder",濫,overflow,"excessive, overflow, spread out",,ラン,,onyomi,,64,,,,氾濫　はんらん,,,,,氾濫(はんらん): overflowing; flood,水: water<br>監: oversee; official; govt office; rule; administer,18,水,(none),形声 Phonetic,Who´s job is it to oversee the water level on the dam? It´ts overflowing!,The overseer isn´t doing his job and he lets the slaves overflow the sink!,1563,JLPT.N1 gradeS,3,,
灌,カン　そそ.ぐ　pour,灌,pour,pour,,カン,,onyomi,,64,,,,灌漑　かんがい,,,,,,,,,,,,,,,3,,
炒,いた.める　い.る　fry,炒,"broil, parch, roast, fry","broil, parch, roast, fry",,,いた.める、い.る,kunyomi,,64,,,,"いる	炒る【いる】to parch; to fry; to fire; to broil; to roast; to boil down (in oil)
いためる	炒める【いためる】to cook; to fry; to saute; to stir-fry",,,,,,,,,,,,,,JLPT.N0 ShouldSuspend gradeS+ kanjifreq2001-2500,3,,
焜,コン　かがや.く　shine,焜,shine,shine,,コン,,onyomi,,64,,,,焜炉　こんろ,,,,,,,,,,,,,,,3,,
煉,レン　ね.る　forge,煉,firing,"refine metals, kneading over fire",,レン,,onyomi,,64,,,,,,,,,煉瓦(れんが): brick,火: fire<br>東: east,,,(none),,The East are the best at tempering (#2030) because their fires are the best at firing.,"""The process of firing, that is, glaze bricks or refine metals, is well known in the east, and of course fire is used for it.""",2601,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,3,,
煌,コウ　きら.めく　かがや.く　glitter,煌,"glitter, gleam, twinkle","glitter, gleam, twinkle",,コウ,きら.びやか、きら.めく、きらめ.く、  かがや.く,kunyomi,,64,,,,"コウ        輝煌帝【きこうてい】poetic word for the sun
煌々【こうこう】brilliant; dazzling; light; bright
敦煌【とんこう】sincerity and kindheartedness; honesty and simplicity
きらめく        煌く【きらめく】to glitter; to glisten; to sparkle; to twinkle; to glare; to gleam
きらめく        煌めく【きらめく】to glitter; to glisten; to sparkle; to twinkle; to glare; to gleam
かがやく        煌く【かがやく】to shine; to glitter; to sparkle",,,,,煌びやか(きらびやか): gorgeous; gaudy; dazzling; gay<br>煌々(こうこう): brilliant; dazzling; light; bright,火: fire<br>皇: emperor,,,(none),,,,,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,3,,
